date,pageviews,country,iso_code,region,device,session_duration,bounce_rate
2016-05-15,128,China,CHN,Asia,Desktop,120.57,0.3147
2016-05-15,21,United States,USA,North America,Mobile,81.8,0.2071
2016-05-15,87,Australia,AUS,Oceania,Desktop,137.62,0.4441
2016-05-15,6,South Africa,ZAF,Africa,Desktop,116.35,0.4304
2016-05-15,107,India,IND,Asia,Desktop,136.18,0.3406
2016-05-15,255,Brazil,BRA,South America,Tablet,35.4,0.4726
2016-05-16,33,South Africa,ZAF,Africa,Mobile,128.04,0.2526
2016-05-16,93,Brazil,BRA,South America,Mobile,37.44,0.2585
2016-05-16,14,India,IND,Asia,Tablet,48.97,0.2487
2016-05-16,193,China,CHN,Asia,Mobile,75.67,0.2925
2016-05-16,150,Nigeria,NGA,Africa,Mobile,126.74,0.4076
2016-05-16,349,Japan,JPN,Asia,Desktop,113.23,0.3429
2016-05-16,13,France,FRA,Europe,Desktop,143.48,0.3701
2016-05-16,66,United States,USA,North America,Desktop,119.81,0.2595
2016-05-16,152,China,CHN,Asia,Mobile,67.72,0.3089
2016-05-17,505,United Kingdom,GBR,Europe,Desktop,128.02,0.4871
2016-05-17,460,China,CHN,Asia,Mobile,162.5,0.409
2016-05-17,213,China,CHN,Asia,Desktop,151.67,0.4637
2016-05-17,190,Australia,AUS,Oceania,Desktop,154.61,0.4896
2016-05-17,163,Canada,CAN,North America,Desktop,98.72,0.4221
2016-05-18,341,United Kingdom,GBR,Europe,Desktop,92.38,0.4304
2016-05-18,1078,Brazil,BRA,South America,Mobile,69.57,0.239
2016-05-18,89,Mexico,MEX,North America,Desktop,175.87,0.3193
2016-05-18,60,United Kingdom,GBR,Europe,Desktop,133.41,0.4709
2016-05-18,23,Germany,DEU,Europe,Mobile,38.17,0.2115
2016-05-19,35,India,IND,Asia,Desktop,145.25,0.3133
2016-05-19,362,Mexico,MEX,North America,Mobile,91.73,0.2918
2016-05-19,235,Mexico,MEX,North America,Desktop,134.9,0.2755
2016-05-19,662,Canada,CAN,North America,Desktop,128.26,0.4696
2016-05-19,112,United Kingdom,GBR,Europe,Mobile,128.5,0.3788
2016-05-20,162,United States,USA,North America,Tablet,132.4,0.4253
2016-05-20,98,Canada,CAN,North America,Mobile,79.11,0.311
2016-05-20,44,France,FRA,Europe,Tablet,168.4,0.3027
2016-05-20,468,South Africa,ZAF,Africa,Mobile,47.82,0.3272
2016-05-20,121,France,FRA,Europe,Mobile,32.67,0.3482
2016-05-20,123,South Africa,ZAF,Africa,Desktop,76.7,0.2951
2016-05-20,161,China,CHN,Asia,Desktop,134.53,0.4712
2016-05-20,37,United Kingdom,GBR,Europe,Desktop,112.14,0.4251
2016-05-20,515,United Kingdom,GBR,Europe,Mobile,114.83,0.2847
2016-05-21,19,Mexico,MEX,North America,Mobile,80.99,0.2289
2016-05-21,61,India,IND,Asia,Mobile,30.51,0.4259
2016-05-21,2,Nigeria,NGA,Africa,Desktop,120.9,0.2705
2016-05-21,67,China,CHN,Asia,Desktop,108.05,0.2384
2016-05-21,127,South Africa,ZAF,Africa,Desktop,168.41,0.4185
2016-05-21,210,United States,USA,North America,Desktop,70.84,0.2073
2016-05-21,190,United States,USA,North America,Desktop,164.12,0.4756
2016-05-21,48,Mexico,MEX,North America,Mobile,76.45,0.4105
2016-05-21,92,Japan,JPN,Asia,Desktop,115.4,0.251
2016-05-21,40,China,CHN,Asia,Desktop,68.16,0.4316
2016-05-21,283,United Kingdom,GBR,Europe,Tablet,78.81,0.4263
2016-05-22,331,France,FRA,Europe,Desktop,157.16,0.2041
2016-05-22,44,Canada,CAN,North America,Desktop,82.53,0.4175
2016-05-22,96,United Kingdom,GBR,Europe,Desktop,115.31,0.3761
2016-05-22,280,Australia,AUS,Oceania,Mobile,62.55,0.3199
2016-05-22,41,Canada,CAN,North America,Tablet,32.87,0.248
2016-05-22,32,France,FRA,Europe,Desktop,130.53,0.3968
2016-05-22,99,South Africa,ZAF,Africa,Desktop,135.19,0.2811
2016-05-22,75,China,CHN,Asia,Desktop,66.02,0.2354
2016-05-22,42,Nigeria,NGA,Africa,Desktop,156.57,0.4515
2016-05-22,35,United Kingdom,GBR,Europe,Desktop,102.47,0.259
2016-05-23,222,France,FRA,Europe,Desktop,128.59,0.3354
2016-05-23,9,South Africa,ZAF,Africa,Desktop,122.49,0.3314
2016-05-23,95,United Kingdom,GBR,Europe,Desktop,161.28,0.2249
2016-05-23,130,China,CHN,Asia,Mobile,105.42,0.262
2016-05-23,188,United Kingdom,GBR,Europe,Desktop,162.58,0.2832
2016-05-23,36,Mexico,MEX,North America,Desktop,108.07,0.3117
2016-05-23,455,Germany,DEU,Europe,Desktop,127.26,0.205
2016-05-23,231,India,IND,Asia,Mobile,36.15,0.4328
2016-05-23,72,South Africa,ZAF,Africa,Desktop,132.21,0.4718
2016-05-23,152,France,FRA,Europe,Mobile,98.6,0.4611
2016-05-24,28,United Kingdom,GBR,Europe,Tablet,78.64,0.3953
2016-05-24,455,Brazil,BRA,South America,Desktop,92.4,0.2018
2016-05-24,180,France,FRA,Europe,Mobile,113.31,0.4594
2016-05-24,19,India,IND,Asia,Mobile,108.82,0.2011
2016-05-24,179,China,CHN,Asia,Desktop,127.33,0.2443
2016-05-24,148,Japan,JPN,Asia,Mobile,18.61,0.317
2016-05-24,2,China,CHN,Asia,Desktop,139.34,0.2439
2016-05-24,13,India,IND,Asia,Desktop,158.77,0.3218
2016-05-24,304,United Kingdom,GBR,Europe,Desktop,158.88,0.2548
2016-05-24,31,India,IND,Asia,Desktop,115.04,0.3708
2016-05-24,49,China,CHN,Asia,Desktop,72.88,0.3718
2016-05-25,417,Brazil,BRA,South America,Tablet,5.06,0.316
2016-05-25,213,China,CHN,Asia,Tablet,51.55,0.4189
2016-05-25,67,India,IND,Asia,Mobile,79.2,0.4126
2016-05-25,122,India,IND,Asia,Tablet,75.7,0.2035
2016-05-25,198,Brazil,BRA,South America,Tablet,102.21,0.3884
2016-05-25,38,China,CHN,Asia,Desktop,73.2,0.3617
2016-05-25,709,United States,USA,North America,Desktop,44.92,0.4555
2016-05-25,181,South Africa,ZAF,Africa,Desktop,166.61,0.4222
2016-05-26,18,South Africa,ZAF,Africa,Desktop,126.63,0.2828
2016-05-26,212,Mexico,MEX,North America,Desktop,140.15,0.3528
2016-05-26,18,United States,USA,North America,Mobile,30.51,0.4334
2016-05-26,140,United States,USA,North America,Mobile,55.31,0.412
2016-05-26,36,Canada,CAN,North America,Tablet,37.12,0.4228
2016-05-26,19,South Africa,ZAF,Africa,Desktop,131.88,0.2755
2016-05-26,455,Australia,AUS,Oceania,Desktop,87.14,0.3899
2016-05-26,125,Germany,DEU,Europe,Mobile,111.48,0.4966
2016-05-26,24,Mexico,MEX,North America,Desktop,133.18,0.4561
2016-05-26,100,Germany,DEU,Europe,Desktop,110.22,0.4614
2016-05-27,107,Canada,CAN,North America,Tablet,77.16,0.3598
2016-05-27,769,India,IND,Asia,Mobile,140.43,0.318
2016-05-27,391,Germany,DEU,Europe,Mobile,117.78,0.2341
2016-05-27,92,France,FRA,Europe,Mobile,96.46,0.4476
2016-05-27,183,Canada,CAN,North America,Desktop,127.34,0.3784
2016-05-27,88,France,FRA,Europe,Tablet,133.79,0.3132
2016-05-27,151,Japan,JPN,Asia,Desktop,130.46,0.3861
2016-05-28,115,France,FRA,Europe,Tablet,41.69,0.3828
2016-05-28,268,Germany,DEU,Europe,Desktop,68.84,0.2176
2016-05-28,461,United States,USA,North America,Mobile,79.94,0.2331
2016-05-28,224,France,FRA,Europe,Mobile,70.53,0.4354
2016-05-28,229,Mexico,MEX,North America,Mobile,110.36,0.3013
2016-05-28,131,India,IND,Asia,Desktop,45.52,0.2314
2016-05-28,9,United Kingdom,GBR,Europe,Tablet,80.8,0.4004
2016-05-28,31,Australia,AUS,Oceania,Tablet,26.71,0.4297
2016-05-28,110,China,CHN,Asia,Desktop,104.1,0.3396
2016-05-29,152,Australia,AUS,Oceania,Mobile,114.32,0.4506
2016-05-29,11,Mexico,MEX,North America,Desktop,113.88,0.4476
2016-05-29,240,France,FRA,Europe,Mobile,108.45,0.446
2016-05-29,150,Brazil,BRA,South America,Mobile,152.93,0.2594
2016-05-29,122,South Africa,ZAF,Africa,Desktop,99.99,0.4369
2016-05-29,27,Mexico,MEX,North America,Mobile,108.1,0.3815
2016-05-29,246,China,CHN,Asia,Mobile,131.9,0.3082
2016-05-29,22,Nigeria,NGA,Africa,Mobile,160.97,0.2183
2016-05-29,43,Australia,AUS,Oceania,Desktop,159.67,0.4032
2016-05-29,68,Mexico,MEX,North America,Desktop,126.47,0.429
2016-05-29,48,India,IND,Asia,Mobile,82.81,0.4093
2016-05-30,288,Canada,CAN,North America,Mobile,10.21,0.3218
2016-05-30,250,India,IND,Asia,Mobile,100.92,0.3971
2016-05-30,417,Germany,DEU,Europe,Tablet,19.26,0.3582
2016-05-30,2,Canada,CAN,North America,Mobile,76.0,0.4282
2016-05-30,511,Japan,JPN,Asia,Mobile,176.35,0.3682
2016-05-31,24,Nigeria,NGA,Africa,Desktop,82.3,0.3097
2016-05-31,39,Nigeria,NGA,Africa,Desktop,119.21,0.3318
2016-05-31,328,United States,USA,North America,Desktop,161.54,0.2493
2016-05-31,11,India,IND,Asia,Desktop,90.26,0.4375
2016-05-31,267,China,CHN,Asia,Tablet,38.63,0.339
2016-05-31,213,Brazil,BRA,South America,Mobile,57.99,0.2394
2016-05-31,193,South Africa,ZAF,Africa,Desktop,130.78,0.2481
2016-05-31,77,United Kingdom,GBR,Europe,Desktop,87.72,0.4238
2016-06-01,235,India,IND,Asia,Desktop,152.36,0.3761
2016-06-01,149,France,FRA,Europe,Desktop,55.06,0.2685
2016-06-01,28,Brazil,BRA,South America,Tablet,113.02,0.3548
2016-06-01,145,China,CHN,Asia,Tablet,113.53,0.3935
2016-06-01,84,China,CHN,Asia,Desktop,146.38,0.3035
2016-06-01,113,China,CHN,Asia,Mobile,31.2,0.3127
2016-06-01,282,India,IND,Asia,Desktop,125.89,0.4411
2016-06-01,175,Brazil,BRA,South America,Desktop,120.52,0.4353
2016-06-02,310,Canada,CAN,North America,Desktop,140.08,0.4971
2016-06-02,4,Canada,CAN,North America,Mobile,93.74,0.3231
2016-06-02,231,Australia,AUS,Oceania,Mobile,53.35,0.2716
2016-06-02,62,Nigeria,NGA,Africa,Desktop,134.93,0.2342
2016-06-02,113,France,FRA,Europe,Desktop,121.9,0.4789
2016-06-02,118,China,CHN,Asia,Mobile,77.4,0.4438
2016-06-02,392,South Africa,ZAF,Africa,Mobile,144.47,0.3377
2016-06-02,89,France,FRA,Europe,Desktop,148.84,0.2677
2016-06-02,54,United Kingdom,GBR,Europe,Mobile,93.32,0.2439
2016-06-02,93,United States,USA,North America,Mobile,82.86,0.2872
2016-06-03,8,United Kingdom,GBR,Europe,Tablet,110.64,0.4082
2016-06-03,411,India,IND,Asia,Desktop,137.53,0.4085
2016-06-03,79,Japan,JPN,Asia,Desktop,116.07,0.4649
2016-06-03,69,United States,USA,North America,Mobile,52.24,0.3419
2016-06-03,252,Germany,DEU,Europe,Mobile,110.31,0.3831
2016-06-03,44,India,IND,Asia,Desktop,139.88,0.3716
2016-06-03,477,Mexico,MEX,North America,Desktop,131.04,0.2507
2016-06-03,36,United Kingdom,GBR,Europe,Desktop,120.45,0.2436
2016-06-03,6,Germany,DEU,Europe,Desktop,99.57,0.3076
2016-06-03,5,China,CHN,Asia,Mobile,68.89,0.4426
2016-06-04,56,India,IND,Asia,Mobile,117.0,0.2939
2016-06-04,85,United States,USA,North America,Desktop,88.75,0.4999
2016-06-04,126,France,FRA,Europe,Mobile,45.07,0.2933
2016-06-04,46,Germany,DEU,Europe,Desktop,104.23,0.3887
2016-06-04,302,France,FRA,Europe,Desktop,78.06,0.498
2016-06-04,62,Canada,CAN,North America,Desktop,90.66,0.2947
2016-06-04,1,Japan,JPN,Asia,Desktop,173.14,0.213
2016-06-04,94,India,IND,Asia,Desktop,105.81,0.3802
2016-06-04,397,Mexico,MEX,North America,Mobile,80.29,0.406
2016-06-04,10,India,IND,Asia,Desktop,122.12,0.3397
2016-06-05,186,Canada,CAN,North America,Desktop,116.81,0.3006
2016-06-05,20,United Kingdom,GBR,Europe,Mobile,88.38,0.3858
2016-06-05,0,Japan,JPN,Asia,Desktop,127.24,0.3843
2016-06-05,236,Germany,DEU,Europe,Mobile,113.76,0.2739
2016-06-05,49,Nigeria,NGA,Africa,Desktop,113.34,0.2126
2016-06-05,257,United Kingdom,GBR,Europe,Desktop,133.69,0.3956
2016-06-05,205,Brazil,BRA,South America,Tablet,68.22,0.4188
2016-06-05,42,Germany,DEU,Europe,Mobile,178.03,0.4564
2016-06-05,205,Canada,CAN,North America,Mobile,130.8,0.2205
2016-06-05,14,China,CHN,Asia,Tablet,80.58,0.3336
2016-06-05,165,Germany,DEU,Europe,Tablet,81.69,0.2999
2016-06-06,123,Australia,AUS,Oceania,Mobile,89.63,0.4056
2016-06-06,452,Mexico,MEX,North America,Desktop,111.13,0.3737
2016-06-06,53,Germany,DEU,Europe,Mobile,75.41,0.3444
2016-06-06,109,United Kingdom,GBR,Europe,Mobile,115.47,0.2594
2016-06-06,129,Brazil,BRA,South America,Mobile,68.71,0.4675
2016-06-06,56,China,CHN,Asia,Mobile,101.75,0.3316
2016-06-06,115,South Africa,ZAF,Africa,Desktop,122.55,0.4107
2016-06-06,83,China,CHN,Asia,Desktop,154.66,0.3647
2016-06-06,87,France,FRA,Europe,Desktop,107.97,0.3758
2016-06-06,4,France,FRA,Europe,Desktop,120.65,0.4564
2016-06-07,42,United States,USA,North America,Mobile,135.19,0.2893
2016-06-07,42,China,CHN,Asia,Desktop,138.48,0.278
2016-06-07,10,Brazil,BRA,South America,Tablet,43.18,0.2933
2016-06-07,288,Japan,JPN,Asia,Mobile,59.39,0.4523
2016-06-07,127,Japan,JPN,Asia,Desktop,76.41,0.4952
2016-06-07,391,Mexico,MEX,North America,Mobile,104.26,0.4929
2016-06-07,63,United Kingdom,GBR,Europe,Desktop,78.57,0.4118
2016-06-07,133,United Kingdom,GBR,Europe,Desktop,68.07,0.2207
2016-06-07,150,Brazil,BRA,South America,Tablet,21.09,0.2217
2016-06-07,72,India,IND,Asia,Desktop,123.3,0.4826
2016-06-08,45,South Africa,ZAF,Africa,Desktop,106.04,0.3184
2016-06-08,56,India,IND,Asia,Mobile,58.76,0.4484
2016-06-08,958,United Kingdom,GBR,Europe,Mobile,105.64,0.4012
2016-06-08,579,Brazil,BRA,South America,Desktop,149.93,0.3542
2016-06-08,146,Australia,AUS,Oceania,Desktop,99.46,0.4189
2016-06-09,161,United States,USA,North America,Desktop,117.86,0.4277
2016-06-09,103,Mexico,MEX,North America,Desktop,122.12,0.4922
2016-06-09,461,United Kingdom,GBR,Europe,Mobile,102.57,0.3203
2016-06-09,69,Canada,CAN,North America,Desktop,94.09,0.2808
2016-06-09,709,France,FRA,Europe,Desktop,87.93,0.2465
2016-06-09,10,Mexico,MEX,North America,Mobile,27.25,0.2109
2016-06-10,168,Mexico,MEX,North America,Desktop,74.69,0.4088
2016-06-10,19,China,CHN,Asia,Mobile,66.82,0.4184
2016-06-10,69,Japan,JPN,Asia,Mobile,18.69,0.3621
2016-06-10,94,India,IND,Asia,Desktop,125.5,0.4042
2016-06-10,43,Australia,AUS,Oceania,Mobile,122.12,0.3212
2016-06-10,85,South Africa,ZAF,Africa,Mobile,72.38,0.4582
2016-06-10,290,Canada,CAN,North America,Desktop,151.47,0.2977
2016-06-10,289,China,CHN,Asia,Tablet,86.42,0.3745
2016-06-10,158,Brazil,BRA,South America,Desktop,135.23,0.3184
2016-06-10,150,Australia,AUS,Oceania,Desktop,143.78,0.4407
2016-06-11,252,Canada,CAN,North America,Desktop,103.22,0.4783
2016-06-11,342,India,IND,Asia,Desktop,149.76,0.3396
2016-06-11,197,France,FRA,Europe,Desktop,116.68,0.2357
2016-06-11,371,Canada,CAN,North America,Mobile,85.87,0.4316
2016-06-11,407,Canada,CAN,North America,Mobile,66.57,0.2221
2016-06-12,121,Germany,DEU,Europe,Desktop,90.16,0.3465
2016-06-12,6,India,IND,Asia,Desktop,97.3,0.3526
2016-06-12,704,Germany,DEU,Europe,Mobile,90.98,0.2685
2016-06-12,501,Nigeria,NGA,Africa,Desktop,99.89,0.4272
2016-06-12,174,Brazil,BRA,South America,Desktop,91.13,0.2774
2016-06-12,108,India,IND,Asia,Mobile,86.3,0.2109
2016-06-13,134,Canada,CAN,North America,Desktop,164.34,0.3864
2016-06-13,10,France,FRA,Europe,Mobile,64.36,0.3493
2016-06-13,24,India,IND,Asia,Desktop,180.05,0.2134
2016-06-13,19,United Kingdom,GBR,Europe,Desktop,109.87,0.4265
2016-06-13,68,Japan,JPN,Asia,Desktop,112.24,0.3567
2016-06-13,450,Japan,JPN,Asia,Desktop,169.0,0.4387
2016-06-13,39,France,FRA,Europe,Tablet,47.57,0.3311
2016-06-13,769,Nigeria,NGA,Africa,Mobile,26.69,0.3932
2016-06-13,10,Canada,CAN,North America,Mobile,140.78,0.4434
2016-06-14,26,South Africa,ZAF,Africa,Mobile,52.11,0.3164
2016-06-14,11,Mexico,MEX,North America,Desktop,100.08,0.4959
2016-06-14,218,South Africa,ZAF,Africa,Mobile,51.37,0.3268
2016-06-14,86,South Africa,ZAF,Africa,Tablet,5.0,0.2131
2016-06-14,518,Nigeria,NGA,Africa,Desktop,90.82,0.4415
2016-06-14,23,United States,USA,North America,Desktop,120.23,0.3259
2016-06-14,424,Australia,AUS,Oceania,Mobile,115.91,0.2655
2016-06-14,486,United States,USA,North America,Desktop,112.97,0.2868
2016-06-14,17,India,IND,Asia,Tablet,124.0,0.2003
2016-06-15,141,France,FRA,Europe,Mobile,51.72,0.3173
2016-06-15,169,China,CHN,Asia,Mobile,143.56,0.3165
2016-06-15,193,South Africa,ZAF,Africa,Desktop,117.9,0.2278
2016-06-15,256,Germany,DEU,Europe,Mobile,69.67,0.2792
2016-06-15,167,United Kingdom,GBR,Europe,Mobile,118.01,0.2227
2016-06-15,23,China,CHN,Asia,Mobile,45.36,0.2341
2016-06-15,507,Japan,JPN,Asia,Tablet,67.48,0.331
2016-06-15,387,South Africa,ZAF,Africa,Desktop,88.94,0.2527
2016-06-15,59,Brazil,BRA,South America,Mobile,96.56,0.495
2016-06-15,91,Australia,AUS,Oceania,Mobile,89.9,0.3799
2016-06-15,29,United States,USA,North America,Mobile,86.4,0.4159
2016-06-16,135,India,IND,Asia,Mobile,122.25,0.4654
2016-06-16,160,United Kingdom,GBR,Europe,Desktop,147.6,0.3867
2016-06-16,374,France,FRA,Europe,Mobile,79.02,0.3553
2016-06-16,109,Germany,DEU,Europe,Tablet,98.56,0.3843
2016-06-16,147,United States,USA,North America,Mobile,74.88,0.4168
2016-06-16,343,China,CHN,Asia,Desktop,158.0,0.3724
2016-06-16,33,Japan,JPN,Asia,Desktop,71.11,0.2228
2016-06-16,241,France,FRA,Europe,Desktop,84.86,0.2264
2016-06-17,51,Australia,AUS,Oceania,Mobile,108.05,0.4729
2016-06-17,153,South Africa,ZAF,Africa,Mobile,108.23,0.2886
2016-06-17,215,United Kingdom,GBR,Europe,Mobile,33.84,0.4721
2016-06-17,48,Nigeria,NGA,Africa,Mobile,17.76,0.401
2016-06-17,15,Canada,CAN,North America,Desktop,155.47,0.4874
2016-06-17,107,Canada,CAN,North America,Desktop,157.45,0.3148
2016-06-17,128,Australia,AUS,Oceania,Desktop,69.84,0.2414
2016-06-17,712,Australia,AUS,Oceania,Desktop,146.87,0.4549
2016-06-17,125,Japan,JPN,Asia,Mobile,93.34,0.3453
2016-06-17,42,Australia,AUS,Oceania,Desktop,55.45,0.4401
2016-06-18,177,France,FRA,Europe,Desktop,139.32,0.4262
2016-06-18,318,Brazil,BRA,South America,Desktop,92.78,0.2577
2016-06-18,743,South Africa,ZAF,Africa,Tablet,115.42,0.3133
2016-06-18,213,Brazil,BRA,South America,Desktop,100.47,0.2328
2016-06-18,301,Germany,DEU,Europe,Desktop,87.25,0.3249
2016-06-19,68,Germany,DEU,Europe,Mobile,74.8,0.3167
2016-06-19,116,United Kingdom,GBR,Europe,Desktop,110.86,0.3639
2016-06-19,457,Mexico,MEX,North America,Desktop,144.23,0.4532
2016-06-19,353,Germany,DEU,Europe,Desktop,113.62,0.4284
2016-06-19,599,France,FRA,Europe,Desktop,92.27,0.2497
2016-06-20,134,France,FRA,Europe,Desktop,118.02,0.2789
2016-06-20,115,Australia,AUS,Oceania,Desktop,51.01,0.4974
2016-06-20,361,United Kingdom,GBR,Europe,Mobile,66.73,0.3025
2016-06-20,106,Australia,AUS,Oceania,Desktop,92.48,0.2677
2016-06-20,11,Nigeria,NGA,Africa,Desktop,128.71,0.4664
2016-06-20,27,Nigeria,NGA,Africa,Desktop,120.93,0.4384
2016-06-20,226,Japan,JPN,Asia,Desktop,107.27,0.4051
2016-06-20,535,Canada,CAN,North America,Mobile,90.47,0.3157
2016-06-21,28,Canada,CAN,North America,Tablet,57.35,0.421
2016-06-21,100,Nigeria,NGA,Africa,Desktop,158.7,0.3926
2016-06-21,96,Canada,CAN,North America,Desktop,88.53,0.2908
2016-06-21,258,Germany,DEU,Europe,Desktop,86.75,0.2359
2016-06-21,58,United Kingdom,GBR,Europe,Desktop,164.81,0.2787
2016-06-21,88,Nigeria,NGA,Africa,Desktop,82.81,0.2355
2016-06-21,66,Nigeria,NGA,Africa,Mobile,68.93,0.4194
2016-06-21,330,United States,USA,North America,Mobile,40.56,0.2622
2016-06-21,131,India,IND,Asia,Mobile,30.77,0.4024
2016-06-21,4,France,FRA,Europe,Mobile,68.59,0.4533
2016-06-22,753,Japan,JPN,Asia,Tablet,73.54,0.2038
2016-06-22,299,Australia,AUS,Oceania,Desktop,89.93,0.3521
2016-06-22,236,United States,USA,North America,Desktop,150.02,0.2227
2016-06-22,150,Australia,AUS,Oceania,Mobile,72.29,0.4722
2016-06-22,782,United States,USA,North America,Desktop,142.46,0.2123
2016-06-23,349,United Kingdom,GBR,Europe,Desktop,91.83,0.2173
2016-06-23,541,France,FRA,Europe,Mobile,75.58,0.3968
2016-06-23,7,France,FRA,Europe,Desktop,104.3,0.4516
2016-06-23,377,Germany,DEU,Europe,Desktop,128.65,0.2797
2016-06-23,971,India,IND,Asia,Mobile,106.52,0.4891
2016-06-24,549,France,FRA,Europe,Mobile,171.22,0.3751
2016-06-24,670,Nigeria,NGA,Africa,Desktop,178.15,0.2318
2016-06-24,333,France,FRA,Europe,Mobile,63.65,0.3072
2016-06-24,224,Canada,CAN,North America,Desktop,105.46,0.4499
2016-06-24,341,Germany,DEU,Europe,Mobile,126.93,0.414
2016-06-24,145,France,FRA,Europe,Tablet,114.22,0.2776
2016-06-24,48,United Kingdom,GBR,Europe,Mobile,126.11,0.2531
2016-06-25,40,India,IND,Asia,Mobile,46.2,0.4809
2016-06-25,30,Germany,DEU,Europe,Mobile,41.3,0.3385
2016-06-25,166,India,IND,Asia,Desktop,148.86,0.494
2016-06-25,34,Germany,DEU,Europe,Mobile,72.41,0.2471
2016-06-25,76,France,FRA,Europe,Desktop,96.59,0.3791
2016-06-25,108,Mexico,MEX,North America,Desktop,108.94,0.4162
2016-06-25,286,United States,USA,North America,Desktop,97.01,0.3332
2016-06-25,312,Brazil,BRA,South America,Tablet,112.61,0.2415
2016-06-25,20,Australia,AUS,Oceania,Desktop,99.03,0.2835
2016-06-25,3,China,CHN,Asia,Mobile,102.75,0.3756
2016-06-25,718,Mexico,MEX,North America,Desktop,123.45,0.4049
2016-06-26,77,China,CHN,Asia,Mobile,82.32,0.2338
2016-06-26,310,United States,USA,North America,Mobile,40.73,0.4428
2016-06-26,129,United States,USA,North America,Mobile,124.55,0.4813
2016-06-26,95,Mexico,MEX,North America,Tablet,106.88,0.3513
2016-06-26,485,United Kingdom,GBR,Europe,Tablet,109.26,0.3296
2016-06-26,244,Nigeria,NGA,Africa,Desktop,132.75,0.3912
2016-06-26,17,United Kingdom,GBR,Europe,Mobile,67.87,0.278
2016-06-26,157,United States,USA,North America,Desktop,118.08,0.3942
